code_qua,nom,NOM_CO,area_sq_km,lidar_point_count,points_per_sq_km,mean_height_m,median_height_m,p10_height_m,p90_height_m,min_height_m,max_height_m,std_height_m
1320303,Saint-Mauront,Marseille 3e Arrondissement,0.7868700604855273,1301,1653.3860739309816,7.302321291314374,6.45,2.74,12.7,1.52,25.64,4.068152253948699
1321202,La Fourragère,Marseille 12e Arrondissement,1.1831092448063998,4237,3581.2415620954166,7.858963889544489,6.38,2.88,14.574000000000002,1.51,31.68,4.9632808301116915
1321204,Saint-Barnabé,Marseille 12e Arrondissement,1.9089469343793468,7349,3849.766521870012,7.268827051299497,6.37,3.0,12.802,1.5,32.42,3.8881213949222944
1320801,Bonneveine,Marseille 8e Arrondissement,1.3931906010701556,3334,2393.0681110244677,7.181514697060587,6.365,2.66,12.79,1.5,31.4,4.2279649648511
1321403,Le Canet,Marseille 14e Arrondissement,1.2603446703252064,2316,1837.5925685490488,6.89470207253886,6.35,2.5949999999999998,11.864999999999998,1.51,25.57,3.8100616534656684
1321303,Malpassé,Marseille 13e Arrondissement,1.2245950714107388,2910,2376.29569801197,7.208501718213059,6.3149999999999995,2.66,12.901,1.51,25.05,4.034596878539948
1321002,Menpenti,Marseille 10e Arrondissement,0.38634789595530505,962,2489.983794583133,6.711725571725572,6.3,2.8409999999999997,10.842999999999998,1.51,22.67,3.3359508214281925
1321206,Saint-Julien,Marseille 12e Arrondissement,2.2467979873038395,9161,4077.358112196465,7.376713240912565,6.26,2.89,13.6,1.5,58.16,4.377411334679268
1321201,Les Caillols,Marseille 12e Arrondissement,2.0957732405094744,7882,3760.9030631977703,7.335545546815529,6.24,2.82,13.45,1.5,27.19,4.287090327036169
1321103,Les Camoins,Marseille 11e Arrondissement,2.85799179749164,13185,4613.379230679394,7.515141448615851,6.2,2.81,14.31,1.5,29.6,4.714017016207697
1320706,Saint-Lambert,Marseille 7e Arrondissement,0.44284132661198367,912,2059.4283893451793,7.179122807017544,6.1850000000000005,3.481,12.019,1.77,23.98,3.7822447145050413
1321003,Pont-de-Vivaux,Marseille 10e Arrondissement,0.8708174107033982,1611,1849.9859789191894,7.241011793916822,6.18,2.84,13.02,1.51,26.88,4.195459350532743
1321508,Saint-Antoine,Marseille 15e Arrondissement,1.6783615929749487,5780,3443.8347637321517,7.19378027681661,6.135,2.82,13.421000000000003,1.5,24.83,4.131170629937102
1321309,Saint-Jérôme,Marseille 13e Arrondissement,1.4018918918118861,4938,3522.382880478639,7.37424463345484,6.09,2.73,13.85,1.5,35.33,4.470949540975688
1321203,Montolivet,Marseille 12e Arrondissement,2.1613300888295055,8747,4047.044940153979,7.054624442666057,6.09,2.87,12.69,1.5,34.49,3.9013078518160405
1321505,Les Crottes,Marseille 15e Arrondissement,0.6706325493206929,675,1006.5124346912941,7.058755555555555,5.99,2.614,11.792000000000003,1.5,56.76,5.2731983091400325
1321205,Saint-Jean du Désert,Marseille 12e Arrondissement,1.1656154122215663,2762,2369.563726629058,6.7947212165097755,5.95,2.6910000000000003,12.18,1.5,29.42,3.7682844608788413
1320701,Bompard,Marseille 7e Arrondissement,0.5907286509548177,2275,3851.1759948037543,6.596791208791209,5.92,3.334,10.82,1.5,20.9,3.099562653621017
1320907,Sormiou,Marseille 9e Arrondissement,8.013048021298898,28370,3540.475475074126,6.797336270708494,5.92,2.14,12.641000000000023,1.5,61.15,4.3289526657141515
1321302,La Croix-Rouge,Marseille 13e Arrondissement,1.2858712683758438,4648,3614.669768514844,7.187540877796902,5.885,2.63,14.04,1.5,27.51,4.509828937541456
1321506,La Delorme,Marseille 15e Arrondissement,1.2156253776667472,3358,2762.3641803573514,6.634839189994044,5.8,2.5970000000000004,11.806000000000004,1.5,27.08,3.7279733426780837
1321507,Notre-Dame Limite,Marseille 15e Arrondissement,2.3180042871306266,7892,3404.6528920657092,6.965153319817537,5.78,2.63,13.26,1.5,25.77,4.105418427288554
1321004,Saint-Loup,Marseille 10e Arrondissement,3.4380012173400467,9853,2865.9093982587897,7.161697960012179,5.78,2.19,13.99,1.5,44.58,4.743343198510511
1320903,Carpiagne,Marseille 9e Arrondissement,10.26885851329058,25373,2470.868594319488,6.678511015646553,5.73,1.88,12.84,1.5,22.97,4.311162384759281
1321107,Saint-Marcel,Marseille 11e Arrondissement,6.364362561671018,18156,2852.760166327323,6.786714033928178,5.72,2.225,13.01,1.5,30.89,4.282636291214054
